// Melia
// Database file
//---------------------------------------------------------------------------

[
{ mapId: 11, className: "barrack", engName: "Barracks", localKey: "ETC_20150317_001338" },
{ mapId: 12, className: "barrack_2", engName: "Pyromancer Room", localKey: "ETC_20150406_010701" },
{ mapId: 13, className: "barrack_noble", engName: "Banquet Hall", localKey: "ETC_20150406_010702" },
{ mapId: 14, className: "barrack4", engName: "Pub", localKey: "ETC_20150317_001342" },
{ mapId: 15, className: "opening_zone_1", engName: "?", localKey: "?" },
{ mapId: 16, className: "track_underfortress_59_2", engName: "?", localKey: "?" },
{ mapId: 17, className: "guild_agit_1", engName: "?", localKey: "?" },
{ mapId: 18, className: "guild_mission_1", engName: "?", localKey: "?" },
{ mapId: 100, className: "test_zone2", engName: "Test Zone", localKey: "ETC_20150317_001343" },
{ mapId: 101, className: "test_zone", engName: "Test Zone", localKey: "ETC_20150317_001140" },
{ mapId: 102, className: "black_zone", engName: "Black Zone", localKey: "ETC_20150317_001345" },
{ mapId: 103, className: "boss_zone", engName: "Test", localKey: "ETC_20150317_001346" },
{ mapId: 104, className: "test_qa", engName: "Test Zone White", localKey: "ETC_20150714_011727" },
{ mapId: 105, className: "test_blue", engName: "?", localKey: "?" },
{ mapId: 108, className: "test_material", engName: "Test Zone Material", localKey: "ETC_20150714_011728" },
{ mapId: 109, className: "d_velniasprison_trackzone", engName: "?", localKey: "?" },
{ mapId: 110, className: "guildhouse", engName: "?", localKey: "?" },
{ mapId: 111, className: "mission_test", engName: "Test Zone", localKey: "ETC_20150317_001140" },
{ mapId: 112, className: "minigame_zone", engName: "Mini Game Zone", localKey: "ETC_20150317_001349" },
{ mapId: 113, className: "onehour_test1", engName: "Mission Test per Hour 1", localKey: "ETC_20150317_001350" },
{ mapId: 114, className: "mission_test2", engName: "Test Zone 3", localKey: "ETC_20150317_001351" },
{ mapId: 116, className: "mission_flag", engName: "Capture Flag", localKey: "ETC_20150317_001353" },
{ mapId: 501, className: "raid_siauliai1", engName: "Siauliai Raid", localKey: "ETC_20150317_001354" },
{ mapId: 502, className: "onehour_cmine1", engName: "Crystal Mine Raid", localKey: "ETC_20150317_001355" },
{ mapId: 503, className: "id_catacomb_03", engName: "Catacombs Raid", localKey: "ETC_20150317_001356" },
{ mapId: 504, className: "raid_thorn1", engName: "Thorn Forest Raid", localKey: "ETC_20150317_001357" },
{ mapId: 505, className: "mission_rokas_01", engName: "Canyon Area Mission", localKey: "ETC_20150317_001358" },
{ mapId: 506, className: "mission_zachariel_01", engName: "Royal Mausoleum Mission", localKey: "ETC_20150317_001359" },
{ mapId: 507, className: "mission_remains_01", engName: "Area of Ruins Mission", localKey: "ETC_20150317_001360" },
{ mapId: 508, className: "mission_firetower_01", engName: "Mage Tower Mission", localKey: "ETC_20150317_001361" },
{ mapId: 509, className: "mission_chaple_01", engName: "Cathedral Mission", localKey: "ETC_20150317_001362" },
{ mapId: 510, className: "mission_huevillage_01", engName: "Seven Hues Mission", localKey: "ETC_20150317_001363" },
{ mapId: 511, className: "mission_gele_01", engName: "Geli Plateau Mission", localKey: "ETC_20150317_001364" },
{ mapId: 512, className: "mission_godnessdefence", engName: "?", localKey: "?" },
